Rank,Geographical Area,Dollar,Margin of Error
,United States,"52,250",+/-65
1,Maryland,"72,483",+/-718
2,Alaska,"72,237","+/-1,892"
3,New Jersey,"70,165",+/-546
4,Hawaii,"68,020","+/-1,523"
5,District of Columbia,"67,572","+/-3,383"
6,Connecticut,"67,098","+/-1,058"
7,Massachusetts,"66,768",+/-715
8,New Hampshire,"64,230","+/-1,347"
9,Virginia,"62,666",+/-665
10,Minnesota,"60,702",+/-432
11,California,"60,190",+/-255
12,Utah,"59,770",+/-762
13,Colorado,"58,823",+/-808
14,Wyoming,"58,752","+/-1,796"
15,Washington,"58,405",+/-671
16,Delaware,"57,846","+/-1,876"
17,New York,"57,369",+/-431
18,Illinois,"56,210",+/-403
19,Rhode Island,"55,902","+/-1,902"
20,North Dakota,"55,759","+/-1,452"
21,Vermont,"52,578","+/-1,561"
22,Iowa,"52,229",+/-533
23,Pennsylvania,"52,007",+/-256
24,Texas,"51,704",+/-238
25,Wisconsin,"51,467",+/-370
26,Nebraska,"51,440",+/-493
27,Nevada,"51,230",+/-589
28,Kansas,"50,972",+/-609
29,Oregon,"50,251",+/-532
30,South Dakota,"48,947","+/-1,091"
31,Arizona,"48,510",+/-587
32,Michigan,"48,273",+/-378
33,Ohio,"48,081",+/-406
34,Georgia,"47,829",+/-628
35,Indiana,"47,529",+/-516
36,Maine,"46,974",+/-797
37,Montana,"46,972","+/-1,140"
38,Missouri,"46,931",+/-427
39,Idaho,"46,783",+/-930
40,Florida,"46,036",+/-310
41,North Carolina,"45,906",+/-424
42,Oklahoma,"45,690",+/-534
43,Tennessee,"44,297",+/-501
44,Louisiana,"44,164",+/-869
45,South Carolina,"44,163",+/-659
46,New Mexico,"43,872",+/-950
47,Kentucky,"43,399",+/-650
48,Alabama,"42,849",+/-641
49,West Virginia,"41,253",+/-746
50,Arkansas,"40,511",+/-710
51,Mississippi,"37,963","+/-1,029"
