Rank,Geographical Area,Median,Margin of Error
1,Maryland,"65,144",+/-659
2,New Jersey,"64,470",+/-658
3,Connecticut,"63,422",+/-824
4,Hawaii,"61,160","+/-1,162"
5,Massachusetts,"59,963",+/-623
6,New Hampshire,"59,683","+/-1,238"
7,Alaska,"59,393","+/-1,442"
8,California,"56,645",+/-236
9,Virginia,"56,277",+/-458
10,Minnesota,"54,023",+/-445
11,Nevada,"52,998","+/-1,049"
12,Delaware,"52,833","+/-1,415"
13,Washington,"52,583",+/-479
14,Colorado,"52,015",+/-491
15,Illinois,"52,006",+/-274
16,District of Columbia,"51,847","+/-1,221"
17,Rhode Island,"51,814","+/-1,151"
18,New York,"51,384",+/-255
19,Utah,"51,309",+/-573
20,Wisconsin,"48,772",+/-440
,United States,"48,451",+/-82
21,Vermont,"47,665","+/-1,270"
22,Wyoming,"47,423","+/-1,479"
23,Arizona,"47,265",+/-439
24,Michigan,"47,182",+/-318
25,Georgia,"46,832",+/-401
26,Pennsylvania,"46,259",+/-290
27,Oregon,"46,230",+/-503
28,Florida,"45,495",+/-247
29,Kansas,"45,478",+/-506
30,Nebraska,"45,474",+/-579
31,Indiana,"45,394",+/-421
32,Texas,"44,922",+/-287
33,Ohio,"44,532",+/-352
34,Iowa,"44,491",+/-523
35,Maine,"43,439",+/-773
36,Idaho,"42,865",+/-877
37,Missouri,"42,841",+/-449
38,South Dakota,"42,791",+/-983
39,North Carolina,"42,625",+/-440
40,North Dakota,"41,919","+/-1,000"
41,South Carolina,"41,100",+/-431
42,New Mexico,"40,629",+/-714
43,Montana,"40,627",+/-705
44,Tennessee,"40,315",+/-425
45,Kentucky,"39,372",+/-535
46,Louisiana,"39,337",+/-603
47,Alabama,"38,783",+/-512
48,Oklahoma,"38,770",+/-649
49,Arkansas,"36,599",+/-491
50,West Virginia,"35,059",+/-618
51,Mississippi,"34,473",+/-614
,,,
,,,
