Rank,Geographical Area,Dollar,Margin of Error
,United States,"55,775",+/-85
1,Maryland,"75,847",+/-591
2,District of Columbia,"75,628","+/-2,493"
3,Hawaii,"73,486","+/-2,012"
4,Alaska,"73,355","+/-2,316"
5,New Jersey,"72,222",+/-610
6,Connecticut,"71,346",+/-783
7,Massachusetts,"70,628",+/-620
8,New Hampshire,"70,303","+/-1,254"
9,Virginia,"66,262",+/-541
10,California,"64,500",+/-395
11,Washington,"64,129",+/-794
12,Colorado,"63,909",+/-891
13,Minnesota,"63,488",+/-669
14,Utah,"62,912","+/-1,223"
15,Delaware,"61,255","+/-1,281"
16,New York,"60,850",+/-306
17,North Dakota,"60,557","+/-1,661"
18,Wyoming,"60,214","+/-1,582"
19,Illinois,"59,588",+/-511
20,Rhode Island,"58,073","+/-2,421"
21,Vermont,"56,990","+/-1,325"
22,Pennsylvania,"55,702",+/-377
23,Texas,"55,653",+/-314
24,Wisconsin,"55,638",+/-427
25,Nebraska,"54,996",+/-830
26,Iowa,"54,736",+/-787
27,Oregon,"54,148",+/-912
28,Kansas,"53,906",+/-872
29,South Dakota,"53,017","+/-1,096"
30,Nevada,"52,431",+/-978
31,Maine,"51,494",+/-854
32,Arizona,"51,492",+/-431
33,Georgia,"51,244",+/-372
34,Michigan,"51,084",+/-244
35,Ohio,"51,075",+/-233
36,Indiana,"50,532",+/-387
37,Missouri,"50,238",+/-415
38,Montana,"49,509","+/-1,410"
39,Florida,"49,426",+/-331
40,Oklahoma,"48,568",+/-514
41,Idaho,"48,275","+/-1,093"
42,North Carolina,"47,830",+/-521
43,Tennessee,"47,275",+/-489
44,South Carolina,"47,238",+/-547
45,Louisiana,"45,727",+/-670
46,New Mexico,"45,382",+/-870
47,Kentucky,"45,215",+/-470
48,Alabama,"44,765",+/-744
49,West Virginia,"42,019",+/-793
50,Arkansas,"41,995",+/-477
51,Mississippi,"40,593",+/-543
