Rank,Geographical Area,Dollar,Margin of Error
,United States,"57,617",+/-115
1,Maryland,"78,945",+/-737
2,Alaska,"76,440","+/-2,230"
3,New Jersey,"76,126",+/-701
4,District of Columbia,"75,506","+/-3,416"
5,Massachusetts,"75,297",+/-771
6,Hawaii,"74,511","+/-1,776"
7,Connecticut,"73,433","+/-1,059"
8,New Hampshire,"70,936","+/-1,422"
9,Virginia,"68,114",+/-748
10,California,"67,739",+/-356
11,Washington,"67,106",+/-595
12,Utah,"65,977",+/-955
13,Colorado,"65,685",+/-636
14,Minnesota,"65,599",+/-606
15,New York,"62,909",+/-631
16,Delaware,"61,757","+/-1,492"
17,Illinois,"60,960",+/-389
18,North Dakota,"60,656","+/-1,528"
19,Rhode Island,"60,596","+/-1,591"
20,Wyoming,"59,882","+/-2,214"
21,Vermont,"57,677","+/-1,672"
22,Oregon,"57,532",+/-855
23,Nebraska,"56,927",+/-767
24,Pennsylvania,"56,907",+/-360
25,Wisconsin,"56,811",+/-549
26,Texas,"56,565",+/-300
27,Iowa,"56,247",+/-695
28,Nevada,"55,180",+/-901
29,Kansas,"54,935",+/-893
30,South Dakota,"54,467","+/-1,289"
31,Georgia,"53,559",+/-710
32,Arizona,"53,558",+/-634
33,Maine,"53,079","+/-1,379"
34,Michigan,"52,492",+/-402
35,Ohio,"52,334",+/-275
36,Indiana,"52,314",+/-371
37,Idaho,"51,807",+/-963
38,Missouri,"51,746",+/-374
39,Florida,"50,860",+/-241
40,North Carolina,"50,584",+/-292
41,Montana,"50,027","+/-1,096"
42,South Carolina,"49,501",+/-601
43,Oklahoma,"49,176",+/-625
44,Tennessee,"48,547",+/-675
45,New Mexico,"46,748",+/-826
46,Kentucky,"46,659",+/-600
47,Alabama,"46,257",+/-677
48,Louisiana,"45,146",+/-776
49,Arkansas,"44,334",+/-921
50,West Virginia,"43,385","+/-1,112"
51,Mississippi,"41,754",+/-556
