Rank,Geographical Area,Dollar,Margin of Error
,United States,"50,046",+/-64
1,Maryland,"68,854",+/-922
2,New Jersey,"67,681",+/-763
3,Alaska,"64,576","+/-2,085"
4,Connecticut,"64,032","+/-1,092"
5,Hawaii,"63,030","+/-1,556"
6,Massachusetts,"62,072",+/-408
7,New Hampshire,"61,042","+/-1,147"
8,District of Columbia,"60,903","+/-1,540"
9,Virginia,"60,674",+/-457
10,California,"57,708",+/-354
11,Delaware,"55,847","+/-1,499"
12,Washington,"55,631",+/-550
13,Minnesota,"55,459",+/-457
14,Utah,"54,744",+/-625
15,New York,"54,148",+/-376
16,Colorado,"54,046",+/-729
17,Wyoming,"53,512","+/-1,894"
18,Illinois,"52,972",+/-439
19,Rhode Island,"52,254","+/-1,244"
20,Nevada,"51,001",+/-792
21,Vermont,"49,406","+/-1,483"
22,Pennsylvania,"49,288",+/-433
23,Wisconsin,"49,001",+/-500
24,North Dakota,"48,670","+/-1,575"
25,Texas,"48,615",+/-347
26,Nebraska,"48,408",+/-904
27,Kansas,"48,257",+/-870
28,Iowa,"47,961",+/-647
29,Arizona,"46,789",+/-531
30,Oregon,"46,560",+/-542
31,Georgia,"46,430",+/-470
32,South Dakota,"45,904","+/-1,215"
33,Maine,"45,815",+/-953
34,Michigan,"45,413",+/-306
35,Ohio,"45,090",+/-294
36,Indiana,"44,613",+/-452
37,Florida,"44,409",+/-324
38,Missouri,"44,301",+/-507
39,Idaho,"43,490","+/-1,005"
40,North Carolina,"43,326",+/-370
41,Montana,"42,666","+/-1,130"
42,Louisiana,"42,505",+/-707
43,New Mexico,"42,090",+/-734
44,Oklahoma,"42,072",+/-407
45,South Carolina,"42,018",+/-424
46,Tennessee,"41,461",+/-403
47,Alabama,"40,474",+/-472
48,Kentucky,"40,062",+/-502
49,Arkansas,"38,307",+/-643
50,West Virginia,"38,218",+/-896
51,Mississippi,"36,851",+/-635
,,,
,,,
