Rank,Geographical Area,Median,Margin of Error
1,Maryland,"70,545",+/-622
2,New Jersey,"70,378",+/-516
3,Connecticut,"68,595","+/-1,131"
4,Alaska,"68,460","+/-1,917"
5,Hawaii,"67,214","+/-1,868"
6,Massachusetts,"65,401",+/-597
7,New Hampshire,"63,731","+/-1,642"
8,Virginia,"61,233",+/-435
9,California,"61,021",+/-236
10,Washington,"58,078",+/-575
11,Delaware,"57,989","+/-1,601"
12,District of Columbia,"57,936","+/-2,402"
13,Minnesota,"57,288",+/-520
14,Colorado,"56,993",+/-623
15,Utah,"56,633",+/-705
16,Nevada,"56,361",+/-793
17,Illinois,"56,235",+/-363
18,New York,"56,033",+/-380
19,Rhode Island,"55,701","+/-1,791"
20,Wyoming,"53,207","+/-1,992"
21,Vermont,"52,104",+/-980
22,Wisconsin,"52,094",+/-357
,United States,"52,029",+/-73
23,Arizona,"50,958",+/-511
24,Georgia,"50,861",+/-410
25,Pennsylvania,"50,713",+/-260
26,Kansas,"50,177",+/-478
27,Oregon,"50,169",+/-523
28,Texas,"50,043",+/-220
29,Nebraska,"49,693",+/-811
30,Iowa,"48,980",+/-643
31,Michigan,"48,591",+/-421
32,Ohio,"47,988",+/-317
33,Indiana,"47,966",+/-539
34,Florida,"47,778",+/-351
35,Idaho,"47,576",+/-961
36,Missouri,"46,867",+/-373
37,Maine,"46,581",+/-892
38,North Carolina,"46,549",+/-423
39,South Dakota,"46,032","+/-1,172"
40,North Dakota,"45,685",+/-974
41,South Carolina,"44,625",+/-633
42,Louisiana,"43,733",+/-631
43,Montana,"43,654","+/-1,263"
44,Tennessee,"43,614",+/-425
45,New Mexico,"43,508",+/-912
46,Oklahoma,"42,822",+/-713
47,Alabama,"42,666",+/-682
48,Kentucky,"41,538",+/-446
49,Arkansas,"38,815",+/-702
50,West Virginia,"37,989","+/-1,017"
51,Mississippi,"37,790",+/-676
,,,
,,,
