state, expenditure
United States,2672
Alabama,2535
Alaska,2558
Arizona,2447
Arkansas,2363
California,2673
Colorado,2498
Connecticut,3315
Delaware,2837
District of Columbia,4660
Florida,2949
Georgia,2497
Hawaii,2603
Idaho,2125
Illinois,2729
Indiana,2541
Iowa,2591
Kansas,2613
Kentucky,2385
Louisiana,2647
Maine,2548
Maryland,2786
Massachusetts,3326
Michigan,2663
Minnesota,2698
Mississippi,2174
Missouri,2516
Montana,2355
Nebraska,2375
Nevada,2381
New Hampshire,2457
New Jersey,2956
New Mexico,2240
New York,3205
North Carolina,2263
North Dakota,2688
Ohio,2681
Oklahoma,2366
Oregon,2308
Pennsylvania,3019
Rhode Island,2936
South Carolina,2262
South Dakota,2426
Tennessee,2556
Texas,2355
Utah,1979
Vermont,2340
Virginia,2353
Washington,2522
West Virginia,2597
Wisconsin,2557
Wyoming,2227
